no;id;enter;exit;event;birthdate;m.id;f.id;sex;civ;ses.50;birthplace;imr.birth;region
1;765000603;94.51;95.813;TRUE;1765.490051;NA;NA;female;widow;unknown;remote;22.2;rural
2;765000669;94.266;95.756;TRUE;1765.733725;NA;NA;female;unmarried;unknown;parish;17.7184466;industry
3;768000648;91.093;91.947;TRUE;1768.906959;NA;NA;female;widow;unknown;parish;12.7090301;rural
4;770000562;89.009;89.593;TRUE;1770.990506;NA;NA;female;widow;unknown;parish;16.90544413;industry
5;770000707;89.998;90.211;TRUE;1770.002122;NA;NA;female;widow;middle;region;11.97183099;rural
6;771000617;88.429;89.762;TRUE;1771.570943;NA;NA;female;widow;unknown;parish;13.0859375;rural
7;771000619;88.18;97.267;TRUE;1771.820092;NA;NA;male;widow;lower;region;13.0859375;rural
8;771000638;88.667;90.742;TRUE;1771.332745;NA;NA;female;widow;unknown;parish;16.93548387;industry
9;771000670;88.708;90.255;TRUE;1771.291676;NA;NA;female;widow;unknown;parish;12.7090301;rural
10;772000622;87.988;94.978;TRUE;1772.011746;NA;NA;female;widow;unknown;parish;14.23357664;industry
11;772000638;87.175;89.469;TRUE;1772.824904;NA;NA;female;widow;farmer;parish;14.23357664;industry
12;772000647;87.668;92.492;TRUE;1772.332081;NA;NA;female;widow;lower;parish;12.7090301;rural
13;772000663;87.651;92.142;FALSE;1772.348508;NA;NA;male;unmarried;unknown;remote;10.21505376;industry
14;772000663;93.141;93.248;TRUE;1772.348508;NA;NA;male;unmarried;unknown;remote;10.21505376;industry
15;773000520;86.795;93.899;TRUE;1773.205473;NA;NA;male;widow;farmer;parish;13.0859375;rural
16;773000558;86.398;87.514;FALSE;1773.60247;NA;NA;female;married;unknown;parish;14.23357664;industry
17;773000558;87.514;90.258;TRUE;1773.60247;NA;NA;female;widow;unknown;parish;14.23357664;industry
18;773000595;86.033;91.09;TRUE;1773.966611;NA;NA;female;widow;farmer;parish;12.41830065;rural
19;774000622;85.165;85.655;FALSE;1774.834528;NA;NA;female;widow;lower;region;16.93548387;rural
20;774000622;85.655;87.988;TRUE;1774.834528;NA;NA;female;unmarried;lower;parish;16.93548387;industry
21;774000649;85.105;88.957;TRUE;1774.894762;NA;NA;female;widow;unknown;parish;14.23357664;industry
22;774000650;85.067;89.927;TRUE;1774.933092;NA;NA;female;widow;unknown;region;11.97183099;industry
23;774000695;85.36;86.849;FALSE;1774.640136;753000514;751000464;male;married;farmer;parish;12.41830065;rural
24;775000606;84.714;88.035;TRUE;1775.286282;NA;NA;female;widow;unknown;remote;14.20722135;industry
25;775000654;84.908;88.396;FALSE;1775.091891;NA;NA;female;widow;farmer;region;11.97183099;industry
26;775000654;88.396;90.543;TRUE;1775.091891;NA;NA;female;widow;farmer;region;11.97183099;industry
27;775000727;84.626;94.808;TRUE;1775.373895;NA;NA;female;widow;unknown;parish;16.93548387;industry
28;775000735;84.141;86.463;TRUE;1775.858505;NA;NA;male;married;farmer;parish;16.93548387;industry
29;775000739;84.889;85.891;TRUE;1775.111056;NA;NA;female;widow;unknown;region;12.7090301;industry
